preprocess,train_size,k,lambda,regularizer,solver,train_time,training ROC_AUC,training accuracy,training precision,training recall,test_time,test ROC_AUC,test accuracy,test precision,test recall
lda,1250,105,100,l2,sag,8.377s,0.8060824520413183,0.8064,0.805,0.7944078947368421,4.848s,0.7507248102407913,0.7507076923076923,0.7639194376159054,0.7261807149885209
lda,2500,105,10,l1,saga,10.558s,0.7789642215052428,0.7788,0.7642089093701997,0.8017727639000806,4.899s,0.7612616876005702,0.7612631578947369,0.7593884456326496,0.765141630540006
lda,3750,115,1000,l2,sag,13.347s,0.7718946598140881,0.7714666666666666,0.7519103413143148,0.7995666305525461,5.801s,0.77330354087041,0.7733189189189189,0.76720938079973,0.7855662088623996
lda,5000,90,10,l1,saga,14.402s,0.786499554862497,0.7862,0.7701550387596899,0.806739748274462,4.940s,0.7796924995536433,0.7797111111111111,0.7740772904906643,0.7910103385543773
lda,6250,120,10,l1,saga,19.693s,0.7941338228855416,0.79376,0.7734470158343484,0.8233387358184765,6.129s,0.8005826579482179,0.80064,0.7834643977482704,0.8319415925165412
lda,7500,95,10,l1,saga,20.618s,0.7909688328452631,0.7905333333333333,0.767017017017017,0.8272604588394062,5.020s,0.7921691884126927,0.792235294117647,0.7757377339291245,0.8233857713078188
lda,8750,115,100,l2,saga,24.445s,0.7945407859441156,0.7942857142857143,0.7768540800700066,0.8199030247056107,5.789s,0.8014607659208353,0.8014787878787879,0.7971428571428572,0.8099085587111132
lsi,1250,700,10,l1,saga,5.071s,0.9488056443679291,0.9488,0.9459016393442623,0.9490131578947368,2.823s,0.8053180048694758,0.8053128205128205,0.81014028222953,0.7978845523122335
lda,10000,120,10,l2,sag,29.806s,0.7789904747618691,0.7788,0.757406372275014,0.8170854271356784,6.875s,0.7908585482164816,0.7909,0.7732065039126564,0.8240199750312109
lda,11250,110,1000,l2,sag,31.160s,0.7855085629227921,0.7853333333333333,0.7664710813076279,0.8173042545584555,5.988s,0.7946684808029237,0.7947096774193548,0.7807856407238487,0.8204163660723488
lsi,2500,700,1,l1,saga,13.448s,0.9812191864026231,0.9812,0.9783653846153846,0.983883964544722,4.279s,0.808990236061091,0.8089894736842105,0.8103550295857989,0.8069784081821626
lda,12500,115,10,l1,saga,39.964s,0.7931330885553165,0.79304,0.7765795868772782,0.8208380157328624,7.252s,0.8008202898823049,0.8008533333333333,0.7844380693542705,0.8303233711576368
lda,13750,105,10,l1,saga,36.796s,0.8012016190815971,0.8011636363636364,0.7823473152069955,0.8338430173292558,5.628s,0.8047333684750477,0.8047448275862069,0.7898379738870537,0.830695417195169
lda,15000,125,100,l1,saga,45.423s,0.7975453276072524,0.7975333333333333,0.7805737292400604,0.827531012404962,6.277s,0.8072539731111371,0.8072571428571429,0.7963524161110805,0.8257441581443181
lda,16250,95,10,l1,saga,37.625s,0.8067622813091465,0.8067692307692308,0.7904484566103669,0.8349944629014396,4.934s,0.8051882130111485,0.8051851851851852,0.7903134866937302,0.830735494577135
lda,17500,95,10,l1,saga,41.479s,0.7957837871726818,0.7958857142857143,0.7803617571059431,0.8255125284738041,4.866s,0.7925371579964675,0.7924923076923077,0.7783456703090119,0.8168310727496917
lda,18750,125,100,l1,saga,54.259s,0.7930945458323341,0.7932266666666666,0.7744592180988291,0.8295249229461155,6.009s,0.7929409377883098,0.792864,0.7728306403351287,0.8282983772689372
lda,20000,75,10,l2,sag,39.955s,0.7851761703737754,0.7853,0.7752937804528518,0.8069006662026449,4.698s,0.7925665446609048,0.7925,0.7813710302091402,0.8100782975306163
lda,21250,80,0.001,l1,saga,46.362s,0.8095597117981906,0.8096470588235294,0.791839618475669,0.8415618547024591,4.442s,0.8064451035237241,0.8064,0.7926666666666666,0.8288024536456156
lda,22500,130,10,l1,saga,77.970s,0.81365128979855,0.8136888888888889,0.7894823066841415,0.8559502664298402,5.831s,0.8172895298060323,0.8172727272727273,0.8030461089088253,0.8403930131004367
lda,23750,125,10,l1,saga,78.907s,0.8066866934793945,0.8066947368421052,0.7884113037283306,0.8385250042094629,5.569s,0.8103674153987874,0.8103619047619047,0.7960162838034313,0.8344764517604024
lda,25000,130,0.001,l1,saga,86.189s,0.8105600000000001,0.81056,0.7905253704535249,0.84504,5.690s,0.8196399999999999,0.81964,0.8076538076538077,0.83912
lsi,1250,700,10,l1,saga,1.608s,0.9447809067060174,0.9448,0.9425287356321839,0.944078947368421,2.260s,0.8039483806398224,0.8039384615384615,0.8130592605098768,0.7897261397179403
lsi,2500,700,1,l1,saga,9.452s,0.9807932443217856,0.9808,0.9814366424535916,0.9798549556809025,3.834s,0.8120409294631629,0.8120421052631579,0.8102330251432874,0.815143735005682
